#=====================================================
# File created:        Sun-13-Oct-2024-at-04-28-41PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        11.730978
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00385    0.5250    -991.7364  0.2880 
   00386    0.4725    -986.0083  0.3189 
   00387    0.4800    -962.7912  0.3403 
   00388    0.4750    -949.1164  0.3314 
   00389    0.4750    -900.9047  0.3451 
   00390    0.5450    -873.2228  0.3794 
   00391    0.5475    -868.6140  0.3530 
   00392    0.4950    -870.0192  0.3420 
   00393    0.5050    -901.3403  0.3547 
   00394    0.5325    -899.6204  0.3822 
   00395    0.5325    -921.4589  0.4064 
   00396    0.5300    -901.0019  0.4099 
   00397    0.5025    -895.4956  0.4238 
   00398    0.5425    -872.2377  0.4178 
   00399    0.4875    -906.6500  0.4277 
   00400    0.5075    -913.4244  0.4104 
   00401    0.5250    -916.2005  0.3805 
   00402    0.5375    -938.9271  0.3826 
   00403    0.5175    -904.3356  0.3776 
   00404    0.5275    -898.9300  0.3785 
   00405    0.5100    -901.0306  0.3621 
   00406    0.5600    -878.8166  0.3344 
   00407    0.4925    -884.6827  0.3281 
   00408    0.5200    -829.2602  0.3224 
   00409    0.5500    -889.8491  0.3403 
   00410    0.5225    -892.2354  0.3465 
   00411    0.5625    -847.4780  0.3648 
   00412    0.5200    -847.6435  0.3748 
   00413    0.5050    -858.5341  0.3868 
   00414    0.5100    -888.2255  0.4147 
   00415    0.5850    -917.4380  0.4142 
   00416    0.4875    -912.7045  0.4222 
   00417    0.4725    -911.6013  0.4071 
   00418    0.5050    -925.5580  0.4029 
   00419    0.4975    -898.2721  0.4053 
   00420    0.4775    -904.7187  0.4141 
   00421    0.5325    -925.2332  0.4126 
   00422    0.4975    -924.8085  0.4089 
   00423    0.4925    -948.7751  0.4585 
   00424    0.5075    -965.0568  0.4409 
   00425    0.4750    -997.7886  0.4541 
   00426    0.4850   -1032.6372  0.4376 
   00427    0.4875    -996.3412  0.3839 
   00428    0.4850   -1016.5886  0.3706 
   00429    0.4625   -1005.8852  0.3909 
   00430    0.4225   -1021.8226  0.3943 
   00431    0.4325   -1028.7488  0.4040 
   00432    0.4950    -987.6091  0.3921 
   00433    0.4475   -1006.5112  0.3837 
   00434    0.4450   -1019.6705  0.4033 
   00435    0.4700   -1011.7905  0.3822 
   00436    0.4650   -1027.5427  0.3887 
   00437    0.4450   -1031.3158  0.3816 
   00438    0.4300   -1022.7947  0.3767 
   00439    0.4500   -1034.9638  0.3875 
   00440    0.4075   -1078.8849  0.4089 
   00441    0.4550   -1016.2315  0.4068 
   00442    0.4425   -1008.9440  0.4007 
   00443    0.4650   -1021.8322  0.3835 
   00444    0.4975   -1018.0684  0.4215 
   00445    0.4375    -990.3605  0.4194 
   00446    0.4600   -1008.2746  0.3889 
   00447    0.4650    -959.5265  0.3755 
   00448    0.5025   -1006.6347  0.3884 
   00449    0.4800    -939.0354  0.3456 
   00450    0.4525    -911.8964  0.3473 
   00451    0.4875    -952.6940  0.4097 
   00452    0.4425    -995.2828  0.4092 
   00453    0.4025    -975.9330  0.4167 
   00454    0.4450    -986.0738  0.4051 
   00455    0.5275   -1044.6259  0.4276 
   00456    0.4850    -976.1288  0.4220 
   00457    0.5050    -946.3340  0.4108 
   00458    0.4850    -945.2763  0.4085 
   00459    0.4500    -957.7348  0.3874 
   00460    0.4450    -949.0493  0.3782 
   00461    0.5075    -936.3058  0.3913 
   00462    0.5125    -913.2508  0.3788 
   00463    0.4800    -910.0829  0.4030 
   00464    0.4700    -897.2950  0.4020 
   00465    0.4725    -941.1981  0.4146 
   00466    0.4850    -930.5840  0.4148 
   00467    0.4475    -961.6346  0.4139 
   00468    0.5025    -987.5198  0.4647 
   00469    0.4750    -997.2911  0.4761 
   00470    0.5150    -990.7178  0.5086 
   00471    0.4800   -1020.2940  0.5500 
   00472    0.4800   -1002.2837  0.5487 
   00473    0.4725   -1003.0570  0.5301 
   00474    0.4650    -997.9849  0.5291 
   00475    0.4800    -999.6095  0.4958 
   00476    0.4675   -1001.2221  0.4741 
   00477    0.4450    -939.2517  0.4630 
   00478    0.4725    -957.1031  0.4662 
   00479    0.4575    -959.8735  0.4551 
   00480    0.5250    -937.7067  0.4800 
   00481    0.4650   -1011.3887  0.4538 
   00482    0.4725   -1008.6340  0.4400 
   00483    0.3975   -1049.6183  0.4734 
   00484    0.4500   -1018.4966  0.4827 
   00485    0.4800   -1025.1808  0.5016 
   00486    0.4850   -1017.4600  0.5395 
   00487    0.4725    -994.8286  0.5223 
   00488    0.4700    -968.9388  0.5220 
   00489    0.4850   -1013.0070  0.5400 
   00490    0.5400    -998.0185  0.5539 
   00491    0.4275    -986.4733  0.5522 
   00492    0.5250    -981.9810  0.5052 
   00493    0.4800    -988.5392  0.5129 
   00494    0.4775    -979.0528  0.5018 
   00495    0.4900    -961.6884  0.4848 
   00496    0.5025    -998.5030  0.4668 
   00497    0.4825    -970.2773  0.4703 
   00498    0.4850   -1006.6413  0.4632 
   00499    0.5225    -990.5140  0.4586 
   00500    0.4500    -974.7191  0.4583 
   00501    0.4825    -987.9040  0.4822 
   00502    0.5050   -1014.0684  0.4561 
   00503    0.5000   -1011.4241  0.4335 
   00504    0.4775    -962.7002  0.4141 
   00505    0.4450    -946.4811  0.4065 
   00506    0.4850    -943.2095  0.4270 
   00507    0.5350    -923.7934  0.4378 
   00508    0.5425    -928.1599  0.4701 
   00509    0.5000    -917.2783  0.4459 
   00510    0.5000    -919.7392  0.4517 
   00511    0.4800    -949.3715  0.4766 
   00512    0.4600    -908.6585  0.4685 
   00513    0.5200    -940.8012  0.5098 
   00514    0.4925    -925.1398  0.5244 
   00515    0.4925    -953.4716  0.5444 
   00516    0.4950    -908.1025  0.5211 
   00517    0.4925    -889.7761  0.5070 
   00518    0.5325    -855.0827  0.4982 
   00519    0.5300    -863.2654  0.4860 
   00520    0.5625    -915.1065  0.4919 
   00521    0.4825    -911.5844  0.4909 
   00522    0.5075    -960.0240  0.5127 
   00523    0.4700    -988.6415  0.5466 
   00524    0.4850    -958.7964  0.5240 
   00525    0.4850   -1005.3557  0.5721 
   00526    0.4900    -996.1113  0.5746 
   00527    0.4875    -983.3917  0.5683 
   00528    0.4650    -946.8192  0.5531 
   00529    0.4275    -988.0040  0.5648 
   00530    0.4925    -983.7015  0.5384 
   00531    0.5075    -981.5928  0.5143 
   00532    0.4700    -969.2439  0.5287 
   00533    0.4600    -957.4694  0.5190 
   00534    0.4375    -980.6217  0.5305 
   00535    0.4825    -936.9582  0.5004 
   00536    0.4625    -941.6058  0.4863 
   00537    0.5050    -951.2122  0.4826 
   00538    0.5075    -986.3202  0.4689 
   00539    0.4550   -1005.1662  0.4819 
   00540    0.4900    -965.2970  0.4743 
   00541    0.4675    -943.2886  0.4528 
